filename	churn	size	minor	major	total	ownership	defects
src/test/ui/codemap_tests/huge_multispan_highlight.rs	125	101	0	4	4	0.25	0
src/test/compile-fail/issue-15783.rs	29	24	0	4	4	0.4	0
src/librustc_metadata/cstore_impl.rs	1249	644	8	4	12	0.34146341463414637	9
src/test/compile-fail/dst-object-from-unsized-type.rs	40	37	0	4	4	0.4	0
src/vendor/toml/tests/valid/arrays-hetergeneous.json	19	19	0	1	1	1.0	0
src/vendor/libc/src/dox.rs	134	134	0	1	1	1.0	0
src/test/compile-fail/typeck-default-trait-impl-negation.rs	12	42	0	3	3	0.3333333333333333	0
src/libstd/sys/unix/rwlock.rs	196	142	0	4	4	0.375	0
src/test/compile-fail/custom_attribute.rs	14	19	0	2	2	0.5	0
src/test/pretty/top-level-doc-comments.rs	20	20	0	1	1	1.0	0
src/test/run-pass-fulldeps/deriving-global.rs	0	42	0	1	1	1.0	0
src/test/parse-fail/keyword-enum-as-identifier.rs	12	17	0	3	3	0.3333333333333333	0
src/test/debuginfo/method-on-generic-struct.rs	60	158	0	4	4	0.25	0
src/stage0.txt	151	16	5	4	9	0.32432432432432434	2
src/test/run-pass/deriving-hash.rs	60	72	0	2	2	0.5	0
src/test/codegen/float_math.rs	60	60	0	1	1	1.0	0
src/test/run-pass/no-drop-flag-size.rs	5	23	0	1	1	1.0	0
src/test/compile-fail/issue-3099.rs	4	21	0	2	2	0.5	0
src/test/parse-fail/pub-method-macro.rs	8	32	0	2	2	0.6666666666666666	0
src/test/compile-fail/issue-26158.rs	16	16	0	1	1	1.0	0
src/test/run-make/symbol-visibility/a_cdylib.rs	16	22	0	1	1	1.0	0
src/test/run-pass-fulldeps/auxiliary/lto-syntax-extension-lib.rs	0	15	0	1	1	1.0	0
src/test/run-pass/auxiliary/overloaded_autoderef_xc.rs	0	40	0	1	1	1.0	0
src/test/compile-fail/mir-dataflow/def-inits-1.rs	75	62	0	6	6	0.3	0
src/test/compile-fail/issue-32797.rs	42	24	0	4	4	0.25	0
src/test/compile-fail/E0221.rs	105	40	0	7	7	0.2222222222222222	0
src/test/compile-fail/borrowck/borrowck-closures-mut-and-imm.rs	0	81	0	1	1	1.0	0
src/test/run-pass/union/union-inherent-method.rs	14	24	0	1	1	1.0	0
src/test/run-fail/assert-eq-macro-panic.rs	6	15	0	3	3	0.3333333333333333	0
src/test/compile-fail/issue-15260.rs	102	41	0	5	5	0.3333333333333333	0
src/test/compile-fail/invalid-macro-matcher.rs	4	16	0	2	2	0.5	0
src/test/run-pass/deriving-via-extension-hash-enum.rs	4	25	0	2	2	0.5	0
src/test/debuginfo/var-captured-in-sendable-closure.rs	64	89	0	8	8	0.3333333333333333	0
src/test/compile-fail/issue-17441.rs	8	28	0	2	2	0.5	0
src/test/run-make/llvm-pass/plugin.rs	6	28	0	1	1	1.0	0
src/test/run-pass/unboxed-closures-blanket-fn-mut.rs	12	35	0	4	4	0.25	0
src/test/run-pass/unique-autoderef-index.rs	8	18	0	4	4	0.25	0
