filename	minor	major	total	ownership
src/test/run-pass/coherence-local-1.rs	3	3	6	0.5533980582524272
src/test/compile-fail/E0040.rs	6	4	10	0.3933333333333333
src/test/compile-fail/two-allocators-3.rs	0	3	3	0.8974358974358975
src/librustc/middle/typeck/infer/higher_ranked/doc.rs	4	3	7	0.44155844155844154
src/test/run-pass/mut-vstore-expr.rs	9	3	12	0.42201834862385323
src/test/run-pass/export-multi.rs	8	4	12	0.35802469135802467
src/librustc_mir/transform/add_call_guards.rs	6	6	12	0.5087719298245614
src/librustc_back/dynamic_lib.rs	2	4	6	0.45161290322580644
mk/libuv/ia32/unix/linux/src/libuv/run-benchmarks.target.mk	0	4	4	0.6363636363636364
src/test/compile-fail-fulldeps/proc-macro/signature.rs	0	3	3	0.3333333333333333
src/librustc/middle/typeck/check/method/probe.rs	4	4	8	0.3904761904761905
src/test/compile-fail/empty-vec-trailing-comma.rs	2	7	9	0.35714285714285715
src/test/compile-fail/use-after-move-self-based-on-type.rs	17	2	19	0.6927710843373494
src/test/compile-fail/reserved-dec.rs	0	2	2	0.6
src/rt/libuv/ev/config.h.in	0	2	2	0.5
src/test/auxiliary/xcrate_associated_type_defaults.rs	7	3	10	0.51875
src/rt/rust_box_annihilator.cpp	2	7	9	0.35714285714285715
src/test/run-pass/issue-19001.rs	2	2	4	0.625
src/librustc_back/target/x86_64_unknown_fuchsia.rs	3	3	6	0.6341463414634146
src/test/run-pass/issue-4241.rs	21	3	24	0.7033333333333334
src/test/run-pass/test-fn-signature-verification-for-explicit-return-type.rs	9	6	15	0.2638888888888889
src/libfmt_macros/lib.rs	39	3	42	0.47353361945636624
src/test/compile-fail/feature-gate-dropck-ugeh.rs	0	3	3	0.8333333333333334
src/test/debuginfo/borrowed-basic.rs	10	3	13	0.41975308641975306
src/test/compile-fail/ref-suggestion.rs	7	3	10	0.48466257668711654
src/test/run-pass/panic-runtime/auxiliary/exit-success-if-unwind.rs	1	4	5	0.5405405405405406
src/test/auxiliary/namespaced_enums.rs	9	4	13	0.3717277486910995
src/test/compile-fail/mutable-huh-variance-vec3.rs	4	7	11	0.2894736842105263
src/test/run-make/compiler-lookup-paths/f.rs	2	2	4	0.7428571428571429
src/librustc/middle/traexpr	1	2	3	0.5952380952380952
src/libcoretest/ptr.rs	20	3	23	0.43209876543209874
src/test/run-pass/associated-const-outer-ty-refs.rs	3	3	6	0.4262295081967213
src/test/compile-fail/specialization-default-types.rs	0	1	1	1.0
src/librustc/middle/typeck/check/_match.rs	45	2	47	0.7401259301659988
src/libstd/rt/at_exit_imp.rs	16	3	19	0.5
src/test/compile-fail/borrowck-partial-reinit-2.rs	7	3	10	0.41346153846153844
src/test/run-fail/unwind-nested.rs	8	2	10	0.8222222222222222
src/test/auxiliary/dummy_mir_pass.rs	6	3	9	0.5324675324675324
src/test/compile-fail/borrowck-mut-boxed-vec.rs	8	3	11	0.7476635514018691
src/test/run-pass/autoderef-method-twice-but-not-thrice.rs	14	3	17	0.42071197411003236
src/test/run-pass/xcrate-static-addresses.rs	6	2	8	0.632
src/test/compile-fail/borrowck/borrowck-escaping-closure-error-2.rs	1	3	4	0.45652173913043476
src/test/compile-fail/aux/crate_a1.rs	0	1	1	1.0
src/rustc/middle/borrowck.rs	9	6	15	0.302158273381295
src/test/run-pass/expr-fn.rs	20	3	23	0.4398496240601504
src/test/run-pass/issue-4830.rs	5	3	8	0.4157303370786517
src/test/run-pass/lib-getopts.rs	0	4	4	0.4
src/test/run-pass/variance-intersection-of-ref-and-opt-ref.rs	4	3	7	0.41346153846153844
src/test/run-pass/repeated-vector-syntax.rs	15	3	18	0.6017191977077364
src/rt/rust_shape.cpp	7	7	14	0.39473684210526316
src/test/run-pass-fulldeps/issue-2316.rs	0	2	2	0.5
src/libstd/deque.rs	25	4	29	0.4843304843304843
src/test/compile-fail/E0004.rs	1	4	5	0.4791666666666667
src/test/run-pass/associated-types-binding-in-trait.rs	4	3	7	0.49107142857142855
src/test/compile-fail/block-arg-as-stmt-with-value.rs	14	2	16	0.7203389830508474
src/libsyntax_ext/deriving/encodable.rs	13	5	18	0.455
src/test/compile-fail/dupe-symbols-8.rs	3	3	6	0.4838709677419355
src/rt/libuv/src/unix/netbsd.c	0	2	2	0.8
src/test/auxiliary/xc_conditions.rs	2	1	3	0.9230769230769231
src/comp/middle/typestate_check.rs	1	4	5	0.40476190476190477
src/test/compile-fail/borrowck-closures-mut-of-imm.rs	7	3	10	0.4497354497354497
src/etc/unicode.py	46	3	49	0.5184893784421715
src/test/run-pass/match-value-binding-in-guard-3291.rs	5	3	8	0.45054945054945056
src/test/run-pass/union-transmute.rs	0	1	1	1.0
src/test/parse-fail/new-unicode-escapes-1.rs	3	4	7	0.4117647058823529
src/test/compile-fail/regions-name-duplicated.rs	4	2	6	0.8676470588235294
src/test/run-pass/aux/macro_export_inner_module.rs	0	1	1	1.0
src/test/debug-info/struct-in-enum.rs	10	1	11	0.9064748201438849
src/test/run-pass/issue-20797.rs	13	4	17	0.3425925925925926
src/boot/be/elf.ml	0	3	3	0.8
src/test/compile-fail/call-fn-never-arg-wrong-type.rs	0	1	1	1.0
src/doc/book/primitive-types.md	11	3	14	0.5033333333333333
src/test/pretty/where-clauses.rs	9	4	13	0.391304347826087
src/test/run-pass/associated-types-enum-field-numbered.rs	5	3	8	0.5035971223021583
src/test/run-pass/atomic-print.rs	8	3	11	0.5915492957746479
src/libstd/rt/unwind/seh.rs	4	3	7	0.5392670157068062
src/test/run-pass/issue-27054-primitive-binary-ops.rs	1	2	3	0.8611111111111112
src/test/run-pass/issue-17322.rs	5	4	9	0.3161290322580645
src/test/run-pass/vec-ref-count.rs	0	6	6	0.35714285714285715
src/test/run-pass/binary-minus-without-space.rs	14	3	17	0.47549019607843135
src/test/run-pass/no-stdio.rs	4	4	8	0.41414141414141414
src/test/incremental/type_alias_cross_crate/b.rs	2	5	7	0.4918032786885246
src/libbacktrace/README	0	3	3	0.875
src/test/run-pass/issue-22403.rs	1	2	3	0.8148148148148148
src/doc/guide-error-handling.md	6	5	11	0.3549618320610687
src/test/compile-fail/svh-change-trait-bound.rs	9	3	12	0.6422764227642277
src/test/parse-fail/struct-no-fields-4.rs	5	3	8	0.5441176470588235
src/test/run-fail/fn-constraint-claim.rs	0	9	9	0.2631578947368421
src/test/compile-fail/once-cant-move-out-of-non-once-on-stack.rs	9	1	10	0.8899082568807339
src/rt/libuv/ev/event.c	0	2	2	0.5
src/libstd/sys/unix/time.rs	21	4	25	0.5337837837837838
src/librustpkg/testsuite/pass/src/fancy-lib/lib.rs	0	4	4	0.8
src/etc/platform-intrinsics/x86/info.json	6	3	9	0.6111111111111112
src/test/run-pass/extern-fn-reachable.rs	5	1	6	0.90625
src/test/run-pass/lib-qsort3.rs	0	3	3	0.5
src/test/compile-fail/method-resolvable-path-in-pattern.rs	7	7	14	0.42011834319526625
src/test/run-pass/issue-20009.rs	5	3	8	0.6428571428571429
src/libsyntax/util/parser_testing.rs	36	4	40	0.607429718875502
src/test/compile-fail/deriving-field-span-enum-struct-variant.rs	0	2	2	0.8823529411764706
src/test/compile-fail/borrowck/borrowck-union-move.rs	2	3	5	0.5238095238095238
src/test/run-fail/explicit-fail.rs	8	3	11	0.5681818181818182
src/libextra/uuid.rs	15	1	16	0.8958990536277602
src/test/run-pass/issue-37222.rs	2	4	6	0.5897435897435898
src/test/compile-fail-fulldeps/auxiliary/use_from_trait_xc.rs	1	3	4	0.38461538461538464
src/test/run-pass/auxiliary/typeid-intrinsic-aux1.rs	4	4	8	0.3904761904761905
RELEASES.md	32	4	36	0.5116279069767442
src/libstd/send_map.rs	0	2	2	0.75
src/test/compile-fail-fulldeps/gated-plugin.rs	8	4	12	0.35714285714285715
src/test/compile-fail/intrinsic-return-address.rs	8	6	14	0.5444444444444444
src/rt/libuv/src/uv-eio.c	0	3	3	0.3333333333333333
src/doc/trpl/ffi.md	16	4	20	0.4084720121028744
src/doc/book/mutability.md	4	4	8	0.5806451612903226
src/libstd/rt/work_queue.rs	6	2	8	0.7868852459016393
src/test/ui/mismatched_types/issue-35030.stderr	4	3	7	0.5652173913043478
src/test/run-pass/nested-obj-self.rs	0	5	5	0.3333333333333333
src/test/run-pass/aux/svh-b.rs	0	1	1	1.0
src/test/run-pass/issue-26646.rs	4	2	6	0.46938775510204084
src/test/run-pass/num-range.rs	3	2	5	0.864406779661017
src/test/run-pass/pat-tuple.rs	0	1	1	1.0
src/test/compile-fail/E0044.rs	0	4	4	0.4444444444444444
src/test/run-pass/unwind-resource2.rs	20	2	22	0.6988847583643123
src/test/run-pass/xcrate-trait-lifetime-param.rs	7	3	10	0.504
src/test/compile-fail/issue-30079.rs	5	4	9	0.3855421686746988
src/test/run-pass/istr.rs	21	3	24	0.6473988439306358
src/test/run-pass/enum-to-float-cast.rs	0	2	2	0.9
src/test/run-pass/issue-3447.rs	16	3	19	0.7215909090909091
src/test/compile-fail/E0303.rs	2	5	7	0.36082474226804123
src/test/run-pass/cast-in-array-size.rs	5	3	8	0.4444444444444444
src/test/run-make/rustdoc-viewpath-self/foo.rs	3	3	6	0.37962962962962965
src/test/compile-fail/use-from-trait.rs	15	4	19	0.5420560747663551
src/test/mir-opt/return_an_array.rs	2	4	6	0.46875
src/test/compile-fail/tps-invariant-class.rs	6	3	9	0.4857142857142857
src/test/run-pass/coerce-reborrow-mut-ptr-rcvr.rs	10	3	13	0.3564356435643564
src/libnative/io/file_win32.rs	17	2	19	0.8782383419689119
src/libstd/fmt.rs	28	2	30	0.4760705289672544
src/test/compile-fail/macro-shadowing.rs	3	5	8	0.4225352112676056
src/test/compile-fail/static-mut-not-pat.rs	13	4	17	0.6063829787234043
src/test/run-pass/issue-22577.rs	5	3	8	0.35
src/test/run-pass/closure-inference.rs	12	3	15	0.3933649289099526
src/test/compile-fail/issue-8761.rs	14	3	17	0.5990338164251208
src/test/compile-fail/wf-trait-bound.rs	4	2	6	0.7666666666666667
src/test/compile-fail/regions-infer-proc-static-upvar.rs	7	3	10	0.4015151515151515
src/test/run-pass/fat-ptr-cast.rs	5	3	8	0.8181818181818182
src/test/run-fail/issue-2444.rs	18	4	22	0.5535714285714286
src/libcore/logging.rs	13	3	16	0.5581395348837209
src/test/parse-fail/raw-str-delim.rs	5	3	8	0.4567901234567901
send-and-sync.md	0	1	1	1.0
src/test/run-make/issue-15460/Makefile	2	3	5	0.6025641025641025
src/librustc/front/map/mod.rs	14	3	17	0.5818505338078291
src/test/auxiliary/variant-namespacing.rs	3	3	6	0.4857142857142857
src/test/compile-fail/aux/deprecation-lint.rs	0	1	1	1.0
src/rt/libuv/src/ares/inet_ntop.c	0	4	4	0.5
src/test/rustdoc/extern-default-method.rs	4	3	7	0.46987951807228917
src/test/compile-fail/associated-types-project-from-hrtb-in-fn-body.rs	4	2	6	0.6329113924050633
src/test/compile-fail/const-len-underflow-separate-spans.rs	12	4	16	0.4666666666666667
src/test/codegen-units/partitioning/vtable-through-const.rs	6	4	10	0.3916083916083916
src/test/compile-fail/const-eval-overflow-2.rs	11	6	17	0.4536082474226804
src/test/run-pass/issue-25579.rs	0	1	1	1.0
src/doc/trpl/pointers.md	15	3	18	0.3026315789473684
src/test/compile-fail/auxiliary/lint_output_format.rs	0	1	1	1.0
src/test/parse-fail/range_inclusive.rs	2	3	5	0.6712328767123288
src/libcollectionstest/char.rs	0	1	1	1.0
src/test/compile-fail/specialization-feature-gate-default.rs	0	1	1	1.0
src/test/run-make/issue-26006/in/libc/lib.rs	2	3	5	0.6071428571428571
src/test/run-pass/issue-15080.rs	18	4	22	0.4710526315789474
src/libcoretest/num/uint_macros.rs	16	3	19	0.4688995215311005
src/rustc/middle/tstate/annotate.rs	4	8	12	0.2777777777777778
src/test/compile-fail/integer-literal-suffix-inference-3.rs	3	2	5	0.5555555555555556
src/libstd/rt/sched.rs	22	2	24	0.7562111801242236
src/test/ui/span/issue-24805-dropck-trait-has-items.stderr	2	4	6	0.5853658536585366
src/test/compile-fail/discrim-ill-typed.rs	8	4	12	0.42028985507246375
doc/po/ja/rustdoc.md.po	2	1	3	0.9090909090909091
src/test/run-pass/issue-24533.rs	2	2	4	0.4827586206896552
src/doc/po/ja/guide-pointers.md.po	3	1	4	0.9
mk/cfg/mips-unknown-linux-gnu	3	3	6	0.6627906976744186
src/test/run-pass/unboxed-closures-infer-recursive-fn.rs	6	3	9	0.3392857142857143
src/test/compile-fail/borrowck-move-subcomponent.rs	8	3	11	0.7543859649122807
src/test/run-pass/coherence-rfc447-constrained.rs	2	2	4	0.6896551724137931
src/librustc_trans/cabi_x86_64.rs	8	4	12	0.532051282051282
src/comp/middle/gc.rs	4	6	10	0.2982456140350877
src/test/run-pass/generic-box.rs	14	1	15	0.6891891891891891
src/doc/tarpl/README.md	0	3	3	0.7115384615384616
src/test/parse-fail/closure-return-syntax.rs	3	3	6	0.4594594594594595
src/librustc/middle/typeck/check/method/doc.rs	5	2	7	0.4473684210526316
src/doc/style/errors/README.md	4	6	10	0.2111111111111111
src/test/rustdoc/assoc-consts.rs	6	3	9	0.5255474452554745
src/test/run-pass/unsafe-const-fn.rs	1	3	4	0.7741935483870968
src/test/run-pass/auto-ref-bounded-ty-param.rs	9	3	12	0.47674418604651164
src/test/compile-fail/sync-rwlock-cond-shouldnt-escape.rs	10	2	12	0.7727272727272727
src/rustc/syntax/print/pp.rs	0	3	3	0.4
src/test/debug-info/shadowed-argument.rs	7	1	8	0.9157894736842105
src/rt/test/rust_test_harness.h	0	4	4	0.2857142857142857
src/test/auxiliary/issue-14344-2.rs	4	3	7	0.4375
src/test/bench/shootout-reverse-complement.rs	26	3	29	0.4511754068716094
src/test/debug-info/managed-box-within-unique.rs	0	1	1	1.0
src/test/compile-fail/access-mode-in-closures.rs	6	3	9	0.49206349206349204
src/test/run-make/linker-output-non-utf8/library.rs	1	2	3	0.8275862068965517
src/test/compile-fail/issue-23073.rs	4	2	6	0.7441860465116279
src/test/compile-fail/issue-3973.rs	20	2	22	0.6514745308310992
mk/stage2.mk	1	6	7	0.38461538461538464
src/test/compile-fail/traits-repeated-supertrait-ambig.rs	7	3	10	0.4827586206896552
src/test/compile-fail/copy-res-into-unique.rs	0	2	2	0.6666666666666666
src/test/run-pass/task-comm.rs	15	4	19	0.2549019607843137
src/test/run-pass/trait-bounds.rs	9	3	12	0.39869281045751637
src/test/run-pass/while-flow-graph.rs	10	3	13	0.34965034965034963
src/test/stdtest/tri.rs	0	4	4	0.25
src/librustc_mir/tcx/pattern.rs	5	2	7	0.7433155080213903
src/libstd/unstable/mod.rs	11	2	13	0.8713910761154856
src/grammar/lexer.l	6	3	9	0.6363636363636364
src/test/debuginfo/managed-pointer-within-unique-vec.rs	3	2	5	0.8245614035087719
src/test/run-pass/fun-call-variants.rs	14	3	17	0.36403508771929827
src/comp/syntax/ext/base.rs	7	6	13	0.2903225806451613
src/libstd/old_io/fs.rs	12	3	15	0.38202247191011235
src/test/compile-fail/unsafe-fn-deref-ptr.rs	7	3	10	0.6388888888888888
src/librustc_borrowck/diagnostics.rs	23	3	26	0.4945717732207479
src/test/run-pass/simplext.rs	0	1	1	1.0
src/test/run-make/graphviz-flowgraph/f15.dot-expected.dot	11	2	13	0.4702702702702703
src/doc/trpl/testing.md	22	4	26	0.4628224582701062
src/test/run-pass/i32-sub.rs	13	3	16	0.3891625615763547
src/test/run-fail/fail-macro-send_str.rs	0	2	2	0.9166666666666666
src/test/compile-fail/vtable-res-trait-param.rs	22	3	25	0.44625407166123776
src/test/run-pass/shootout-k-nucleotide.rs	0	1	1	1.0
src/test/run-pass/autoderef-method-on-trait.rs	13	3	16	0.46475195822454307
src/test/run-fail/if-check-panic.rs	8	4	12	0.38285714285714284
src/test/run-pass/unit.rs	13	3	16	0.4666666666666667
src/test/compile-fail/struct-fields-shorthand-unresolved.rs	3	3	6	0.675
src/librustuv/timeout.rs	3	2	5	0.7114093959731543
src/test/compile-fail/dst-object-from-unsized-type.rs	11	4	15	0.47717842323651455
src/librustc_const_math/lib.rs	7	5	12	0.49032258064516127
src/test/compile-fail/issue-14845.rs	10	4	14	0.4551971326164875
src/test/compile-fail/type-params-in-different-spaces-3.rs	5	3	8	0.5333333333333333
mk/platform.mk	68	4	72	0.5964071856287425
src/rt/boxed_region.cpp	7	4	11	0.6666666666666666
src/test/run-fail/mir_indexing_oob_1.rs	4	5	9	0.47058823529411764
src/libsyntax/ext/source_util.rs	68	3	71	0.5277502477700694
src/test/compile-fail/issue-3008-2.rs	11	6	17	0.5555555555555556
src/rustbook/test.rs	8	3	11	0.5358490566037736
src/doc/trpl/src/generics.md	0	2	2	0.9
src/bootstrap/config.toml.example	11	4	15	0.5063829787234042
src/librustc_back/target/aarch64_linux_android.rs	19	5	24	0.4975728155339806
src/test/auxiliary/macro_non_reexport_2.rs	4	4	8	0.38271604938271603
src/test/compile-fail/regions-in-consts.rs	12	4	16	0.5535714285714286
src/test/compile-fail/double-type-import.rs	6	3	9	0.4198473282442748
src/test/run-pass/overloaded-autoderef-xcrate.rs	6	3	9	0.3783783783783784
src/librustc_mir/transform/erase_regions.rs	13	3	16	0.5733041575492341
src/test/incremental/span_hash_stable/auxiliary/mod.rs	3	3	6	0.7714285714285715
src/rustdoc/markdown_writer.rs	10	6	16	0.379746835443038
src/test/run-make/c-link-to-rust-staticlib/Makefile	10	4	14	0.6518518518518519
src/test/run-pass/structured-compare.rs	18	4	22	0.37630662020905925
src/test/parse-fail/issue-14303-impl.rs	3	4	7	0.4117647058823529
src/test/compile-fail/minus-string.rs	14	3	17	0.616
